trial_id,trial_path,model_key,model,pretrained,scenario_key,dataset,perturbation,accuracy,relative_accuracy,js,cka,drop_same,drop_id,domain_type,shift_type,num_classes,feature_type,alpha,sigma,grid_size,bilateral_d,sigma_color,sigma_space,gaussian_k,gaussian_sigma,gray_alpha,controlled_perturbation,LV_ratio,HFE_ratio,ESSIM,GC,texture_score,shape_score,feature_reliance,is_localwarp,setting_id,n_settings,is_sweep
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__bilateral,imagenet_200,bilateral,0.847599983215332,0.9076807289639006,0.1197255477309227,0.8474899530410767,0.08569997549057007,0.08569997549057007,id,,200,texture,0,0.5,7,11,170,75,11,2.0,1.0,bilateral,0.5347957138127921,0.4724570881872269,0.5416145937850794,0.8555104866051855,0.5036264010000095,0.6985625401951324,0.09231927103609938,False,bilateral_d=11|sigma_color=170|sigma_space=75,13,True
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__patchshuffle,imagenet_200,patchshuffle,0.7767999768257141,0.8314122709879713,0.18404653668403625,0.7980769276618958,0.156499981880188,0.156499981880188,id,,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,patchshuffle,0.9999833964271825,0.9999899034947387,0.14988664658212353,0.017379087656658562,0.9999866499609605,0.08363286711939105,0.16858772901202868,False,grid_size=7,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__patchrotation,imagenet_200,patchrotation,0.8082999587059021,0.8653452487768539,0.15372979640960693,0.8268490433692932,0.125,0.125,id,,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,patchrotation,0.9999646605996756,0.9999665383518032,0.37544417613098724,0.2176256308798563,0.9999655994757395,0.29653490350542183,0.13465475122314607,False,grid_size=7,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_200__localwarp,imagenet_200,localwarp,0.9332999587059021,1.0,0.0,1.0,0.0,0.0,id,,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,localwarp,0.9999946503684275,0.9999982841614824,1.0,1.0,0.999996467264955,1.0,0.0,True,alpha=0|sigma=0.5,35,True
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_r__original,imagenet_r,original,0.3811666667461395,,,,,0.5521332919597626,natural_ood,style,200,clean,0,0.5,7,11,170,75,11,2.0,1.0,none,,,,,,,,False,default,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_r__grayscale,imagenet_r,grayscale,0.34176668524742126,0.8952592428257132,0.2081359326839447,0.7367544174194336,0.03939998149871826,0.5915332734584808,natural_ood,style,200,color,0,0.5,7,11,170,75,11,2.0,1.0,grayscale,0.9999946503684275,0.9999982841614824,1.0,1.0,0.999996467264955,1.0,0.10474075717428677,False,gray_alpha=1.0,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_r__bilateral,imagenet_r,bilateral,0.36336666345596313,0.952680540665266,0.20550280809402466,0.7392450571060181,0.01780000329017639,0.569933295249939,natural_ood,style,200,texture,0,0.5,7,11,170,75,11,2.0,1.0,bilateral,0.5347957138127921,0.4724570881872269,0.5416145937850794,0.8555104866051855,0.5036264010000095,0.6985625401951324,0.047319459334734026,False,bilateral_d=11|sigma_color=170|sigma_space=75,13,True
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_r__patchshuffle,imagenet_r,patchshuffle,0.1375666707754135,0.3524147206399808,0.339865118265152,0.5959168076515198,0.243599995970726,0.7957332879304886,natural_ood,style,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,patchshuffle,0.9999833964271825,0.9999899034947387,0.14988664658212353,0.017379087656658562,0.9999866499609605,0.08363286711939105,0.6475852793600192,False,grid_size=7,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_r__patchrotation,imagenet_r,patchrotation,0.15230000019073486,0.39158174610442553,0.2945513129234314,0.6495361924171448,0.22886666655540466,0.7809999585151672,natural_ood,style,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,patchrotation,0.9999646605996756,0.9999665383518032,0.37544417613098724,0.2176256308798563,0.9999655994757395,0.29653490350542183,0.6084182538955745,False,grid_size=7,1,False
trial_0000,Cache\MetaData\trial_0000\experiment_summary.json,vit-b__augreg_in1k,vit-b,augreg_in1k,imagenet_r__localwarp,imagenet_r,localwarp,0.3811666667461395,1.0,0.0,1.0,0.0,0.5521332919597626,natural_ood,style,200,shape,0,0.5,7,11,170,75,11,2.0,1.0,localwarp,0.9999946503684275,0.9999982841614824,1.0,1.0,0.999996467264955,1.0,0.0,True,alpha=0|sigma=0.5,35,True
